!!	0x1.8469ee58469eep-3	Y,R
**	0x1.ee58469ee5847p-4	Y,R
$$	0x1.ee58469ee5847p-4	Y,R
!@	0x1.1a7b9611a7b96p-4	Y
--	0x1.a7b9611a7b961p-5	Y,R
??	0x1.1a7b9611a7b96p-5	R
..	0x1.1a7b9611a7b96p-5	R
++	0x1.1a7b9611a7b96p-5	Y,R
&#	0x1.1a7b9611a7b96p-5	Y
~(	0x1.1a7b9611a7b96p-6	R
_.	0x1.1a7b9611a7b96p-6	R
_!	0x1.1a7b9611a7b96p-6	Y
^$	0x1.1a7b9611a7b96p-6	Y
[]	0x1.1a7b9611a7b96p-6	R
@@	0x1.1a7b9611a7b96p-6	R
@*	0x1.1a7b9611a7b96p-6	R
@#	0x1.1a7b9611a7b96p-6	Y
;%	0x1.1a7b9611a7b96p-6	Y
/*	0x1.1a7b9611a7b96p-6	R
-_	0x1.1a7b9611a7b96p-6	Y
*)	0x1.1a7b9611a7b96p-6	R
(*	0x1.1a7b9611a7b96p-6	R
()	0x1.1a7b9611a7b96p-6	R
%&	0x1.1a7b9611a7b96p-6	Y
%$	0x1.1a7b9611a7b96p-6	Y
#@	0x1.1a7b9611a7b96p-6	Y
!#	0x1.1a7b9611a7b96p-6	Y
